,name,inchi,mult
111,CC3H6,InChI=1S/C3H6/c1-2-3-1/h1-3H2,1
112,C3H5O,"InChI=1S/C3H5O/c1-2-3-4/h2H,1,3H2",2
113,CH2CHOCH2,"InChI=1S/C3H5O/c1-3-4-2/h3H,1-2H2",2
114,CH3CHCHO,"InChI=1S/C3H5O/c1-2-3-4/h2-3H,1H3",2
115,AC4H7OOH,"InChI=1S/C4H8O2/c1-3-4-6-5-2/h3H,1,4H2,2H3",1
116,C3H6OH1-2,"InChI=1S/C3H7O/c1-2-3-4/h2,4H,3H2,1H3",2
117,CH3CHCO,"InChI=1S/C3H4O/c1-2-3-4/h2H,1H3",1
118,AC3H5OOH,"InChI=1S/C3H6O2/c1-2-3-5-4/h2,4H,1,3H2",1
119,C3H6OH2-1,"InChI=1S/C3H7O/c1-3(2)4/h3-4H,1H2,2H3",2
120,HOC3H6O2,"InChI=1S/C3H7O3/c1-3(2-4)6-5/h3-4H,2H2,1H3",2
121,SC3H5OH,"InChI=1S/C3H6O/c1-2-3-4/h2-4H,1H3",1
122,IC3H5OH,"InChI=1S/C3H6O/c1-3(2)4/h4H,1H2,2H3",1
123,C3H5OH,"InChI=1S/C3H6O/c1-2-3-4/h2,4H,1,3H2",1
124,CH2CCH2OH,"InChI=1S/C3H5O/c1-2-3-4/h4H,1,3H2",2
125,C3H4-P,"InChI=1S/C3H4/c1-3-2/h1H,2H3",1
126,C3H4-A,InChI=1S/C3H4/c1-3-2/h1-2H2,1
127,C3H3,"InChI=1S/C3H3/c1-3-2/h1H,2H2",2
128,CC3H4,"InChI=1S/C3H4/c1-2-3-1/h1-2H,3H2",1
129,C3H2,InChI=1S/C3H2/c1-3-2/h1H2,1
130,H2CCC(S),InChI=1S/C3H2/c1-3-2/h1H2,1
131,C3H2(S),InChI=1S/C3H2/c1-3-2/h1H2,1
132,C3H2C,InChI=1S/C3H2/c1-2-3-1/h1-2H,3
133,PC3H4OH-2,"InChI=1S/C3H5O/c1-2-3-4/h3-4H,1H3",2
134,SC3H4OH,"InChI=1S/C3H5O/c1-3(2)4/h4H,1-2H2",2
135,C3H3O,"InChI=1S/C3H3O/c1-2-3-4/h3H,1H2",2
136,C3H3O2H,"InChI=1S/C3H4O2/c1-2-3-5-4/h3-4H,1H2",1
137,C2HCHO,"InChI=1S/C3H2O/c1-2-3-4/h1,3H",1
138,C2H5CHO,"InChI=1S/C3H6O/c1-2-3-4/h3H,2H2,1H3",1
139,C2H5CO,"InChI=1S/C3H5O/c1-2-3-4/h2H2,1H3",2
140,CH2CH2CHO,"InChI=1S/C3H5O/c1-2-3-4/h3H,1-2H2",2
141,C2H3CHO,"InChI=1S/C3H4O/c1-2-3-4/h2-3H,1H2",1
142,C2H3CO,"InChI=1S/C3H3O/c1-2-3-4/h2H,1H2",2
143,CH3COCH3,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,1
144,CH3COCH2,"InChI=1S/C3H5O/c1-3(2)4/h1H2,2H3",2
145,CH3COCH2O2,"InChI=1S/C3H5O3/c1-3(4)2-6-5/h2H2,1H3",2
146,CH3COCH2O,"InChI=1S/C3H5O2/c1-3(5)2-4/h2H2,1H3",2
147,C3KET21,"InChI=1S/C3H6O3/c1-3(4)2-6-5/h5H,2H2,1H3",1
148,C4H10,"InChI=1S/C4H10/c1-3-4-2/h3-4H2,1-2H3",1
149,PC4H9,"InChI=1S/C4H9/c1-3-4-2/h1,3-4H2,2H3",2
150,SC4H9,"InChI=1S/C4H9/c1-3-4-2/h3H,4H2,1-2H3",2
151,PC4H9O,"InChI=1S/C4H9O/c1-2-3-4-5/h2-4H2,1H3",2
152,SC4H9O,"InChI=1S/C4H9O/c1-3-4(2)5/h4H,3H2,1-2H3",2
153,PC4H9O2,"InChI=1S/C4H9O2/c1-2-3-4-6-5/h2-4H2,1H3",2
154,SC4H9O2,"InChI=1S/C4H9O2/c1-3-4(2)6-5/h4H,3H2,1-2H3",2
155,PC4H9O2H,"InChI=1S/C4H10O2/c1-2-3-4-6-5/h5H,2-4H2,1H3",1
156,SC4H9O2H,"InChI=1S/C4H10O2/c1-3-4(2)6-5/h4-5H,3H2,1-2H3",1
157,C4H8OOH1-2,"InChI=1S/C4H9O2/c1-2-3-4-6-5/h3,5H,2,4H2,1H3",2
158,C4H8OOH1-3,"InChI=1S/C4H9O2/c1-2-3-4-6-5/h2,5H,3-4H2,1H3",2
159,C4H8OOH1-4,"InChI=1S/C4H9O2/c1-2-3-4-6-5/h5H,1-4H2",2
